No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
434,DP052,Sayur ndusuk,"3,6","3,1","2,5",-,39.1,33.7,27.2,B/L/D,Sayur,Olahan
435,DP053,Sayur sop,"1,0","1,3","2,0","0,3",23.3,30.2,46.5,L/D,Sayur,Olahan
436,DP054,Sayur umbut kelapa,"5,1","5,2","2,9","1,4",38.6,39.4,22.0,B/L/D,Sayur,Olahan
437,DP055,Sayur umbut rotan,"3,1","5,4","2,6","1,6",27.9,48.6,23.4,B/L/D,Sayur,Olahan
438,DP056,Shabu-shabu,"0,8","3,2","8,0","0,9",6.7,26.7,66.7,B/L/D,Sayur,Olahan
439,DP057,Semur jengkol,"29,1","6,0","10,0",-,64.5,13.3,22.2,L/D,Sayur,Olahan
440,DP058,Tinira ninahu nggaluku,"4,1","1,2","1,3","3,1",62.1,18.2,19.7,B/L/D,Sayur,Olahan
441,DP059,Tumis bayam bersantan,"2,6","1,4","4,2","0,5",31.7,17.1,51.2,L/D,Sayur,Olahan
442,DP060,Waluh balamak,"8,1","0,8","0,9","7,9",82.7,8.2,9.2,B/L/D,Sayur,Olahan
443,DP061,Woku ubi,"15,0","3,1","7,8","7,0",57.9,12.0,30.1,B/L,Sayur,Olahan
444,DR001,"Akar tonjong, segar","10,8","1,1","0,4","1,2",87.8,8.9,3.3,B/L/D,Sayur,Tunggal
445,DR002,"Ale,toge, segar","3,8","4,4","0,5","1,7",43.7,50.6,5.7,B/L/D,Sayur,Tunggal
446,DR003,"Andaliman, segar","18,0","4,6","1,0","8,5",76.3,19.5,4.2,B/L/D,Sayur,Tunggal
447,DR004,"Andewi, segar","5,3","1,6","0,2","4,1",74.6,22.5,2.8,B/L/D,Sayur,Tunggal
448,DR005,"Bakung, segar","4,2","2,0","0,2","3,8",65.6,31.2,3.1,B/L/D,Sayur,Tunggal
449,DR006,"Baligo, segar","3,0","0,4","0,2","0,4",83.3,11.1,5.6,B/L/D,Sayur,Tunggal
450,DR007,"Bawang bombay, segar","10,3","1,4","0,2","2,0",86.6,11.8,1.7,B/L/D,Sayur,Tunggal
451,DR008,"Bayam, segar","2,9","0,9","0,4","0,7",69.0,21.4,9.5,L/D,Sayur,Tunggal
452,DR009,"Bayam merah, segar","6,3","2,2","0,8","2,2",67.7,23.7,8.6,L/D,Sayur,Tunggal
